title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Mercedes-Benz Classe A 1.4,148000.0,Mercedes,Coupe,Petrol,8.0,Automatic,40500.0,2019,2024-02-26,5,3.654320987654321,18500.0
Cupra Formentor 1.5L,169000.0,Cupra,Sedan,Petrol,8.0,Automatic,19000.0,2022,2024-02-26,2,8.894736842105264,21125.0
Mercedes-Benz CLS V6,52000.0,Mercedes,Sedan,Diesel,13.0,Automatic,300000.0,2007,2024-02-26,17,0.17333333333333334,4000.0
BMW Série 3 1.6,75000.0,BMW,Sedan,Petrol,7.0,Automatic,160000.0,2017,2024-02-26,7,0.46875,10714.285714285714
Audi A4 1.8,54500.0,Audi,Sedan,Petrol,7.0,Manual,140000.0,2013,2024-02-26,11,0.3892857142857143,7785.714285714285
KIA Picanto,41000.0,KIA,City,Petrol,4.0,Manual,32000.0,2020,2024-02-25,4,1.28125,10250.0
Renault Clio Intense TCe,41000.0,Renault,Sedan,Petrol,5.0,Manual,59000.0,2016,2024-02-25,8,0.6949152542372882,8200.0
Mahindra KUV 100 K8,33000.0,Mahindra,City,Petrol,5.0,Manual,33000.0,2021,2024-02-25,3,1.0,6600.0
Peugeot 208 Populaire,42000.0,Peugeot,City,Petrol,4.0,Manual,20000.0,2022,2024-02-26,2,2.1,10500.0
Seat Leon,44000.0,Seat,Compact,Petrol,5.0,Manual,231000.0,2014,2024-02-26,10,0.19047619047619047,8800.0
Volkswagen Tiguan connect,99000.0,Volkswagen,SUV,Petrol,8.0,Manual,65000.0,2019,2024-02-26,5,1.523076923076923,12375.0
Mahindra KUV 100 K8,30000.0,Mahindra,Other,Petrol,5.0,Manual,90000.0,2019,2024-02-26,5,0.3333333333333333,6000.0
Peugeot 206,19000.0,Peugeot,City,Petrol,4.0,Manual,183000.0,2005,2024-02-26,19,0.10382513661202186,4750.0
Mercedes-Benz Classe C AMG,55000.0,Mercedes,Sedan,Petrol,9.0,Automatic,150000.0,201,2024-02-26,1823,0.36666666666666664,6111.111111111111
Peugeot 308 cc Cabriolet,36000.0,Peugeot,Convertible,Petrol,9.0,Manual,140000.0,2012,2024-02-26,12,0.2571428571428571,4000.0
Seat Ibiza,52000.0,Seat,City,Petrol,4.0,Manual,46000.0,2022,2024-02-26,2,1.1304347826086956,13000.0
Nissan Qashqai Tn239,78000.0,Nissan,SUV,Diesel,5.0,Manual,138000.0,2019,2024-02-26,5,0.5652173913043478,15600.0
Volkswagen Tiguan,73000.0,Volkswagen,SUV,Petrol,8.0,Automatic,185000.0,2017,2024-02-26,7,0.3945945945945946,9125.0
Volkswagen Jetta,38500.0,Volkswagen,Sedan,Petrol,8.0,Manual,170000.0,2013,2024-02-25,11,0.22647058823529412,4812.5
KIA Rio 5p Prestige,57000.0,KIA,City,Petrol,5.0,Manual,67000.0,2021,2024-02-26,3,0.8507462686567164,11400.0
Volkswagen Golf 7,68500.0,Volkswagen,City,Diesel,6.0,Automatic,200000.0,2019,2024-02-26,5,0.3425,11416.666666666666
Mercedes-Benz Classe A,118000.0,Mercedes,City,Diesel,6.0,Automatic,98000.0,2019,2024-02-26,5,1.2040816326530612,19666.666666666668
Peugeot 208 Ehdi,45500.0,Peugeot,City,Diesel,5.0,Manual,158000.0,2021,2024-02-26,3,0.2879746835443038,9100.0
KIA Rio 5p Premiere main,45500.0,KIA,City,Petrol,5.0,Manual,68000.0,2018,2024-02-26,6,0.6691176470588235,9100.0
Chevrolet Aveo LS,26200.0,Chevrolet,Sedan,Petrol,5.0,Manual,182500.0,2016,2024-02-18,8,0.14356164383561643,5240.0
Mazda 2 Sedan neuve,46000.0,Mazda,Sedan,Petrol,6.0,Manual,115000.0,2017,2024-02-19,7,0.4,7666.666666666667
Seat Ibiza,39000.0,Seat,City,Petrol,4.0,Manual,66500.0,2017,2024-02-19,7,0.5864661654135338,9750.0
Haval H6 1.5 L,118000.0,Haval,SUV,Petrol,8.0,Automatic,42000.0,2022,2024-02-19,2,2.8095238095238093,14750.0
Citroën C3 shine plus sur équipée,33000.0,Citroën,City,Petrol,4.0,Manual,195000.0,2017,2024-02-19,7,0.16923076923076924,8250.0
KIA Rio 5p,67500.0,KIA,City,Petrol,5.0,Manual,12000.0,2022,2024-02-19,2,5.625,13500.0
Mazda 3 Hatchback,48000.0,Mazda,Coupe,Petrol,6.0,Manual,110000.0,2015,2024-02-19,9,0.43636363636363634,8000.0
Dacia Dokker Van,27000.0,Dacia,Utility,Diesel,6.0,Manual,190000.0,2017,2024-02-19,7,0.14210526315789473,4500.0
KIA Rio 5p Toute option,54000.0,KIA,Other,Petrol,5.0,Manual,86500.0,2019,2024-02-19,5,0.6242774566473989,10800.0
Isuzu D-Max Double Cabine LS 4X4,125000.0,Isuzu,Pickup,Diesel,8.0,Manual,26700.0,2017,2024-02-19,7,4.681647940074907,15625.0
Geely GC6,32000.0,Geely,Sedan,Petrol,6.0,Manual,56000.0,2021,2024-02-19,3,0.5714285714285714,5333.333333333333
Mercedes-Benz Classe E 2.2,78500.0,Mercedes,Sedan,Diesel,8.0,Automatic,200000.0,2013,2024-02-19,11,0.3925,9812.5
Jeep Renegade,85000.0,Jeep,SUV,Petrol,8.0,Automatic,80000.0,2020,2024-02-25,4,1.0625,10625.0
Hyundai Grand i10,39000.0,Hyundai,Sedan,Petrol,5.0,Manual,74000.0,2020,2024-02-25,4,0.527027027027027,7800.0
Renault Megane,60000.0,Renault,City,Petrol,7.0,Manual,60000.0,2020,2024-02-25,4,1.0,8571.42857142857
Skoda Octavia,48000.0,Skoda,Sedan,Petrol,8.0,Automatic,113000.0,2016,2024-02-25,8,0.4247787610619469,6000.0
Suzuki Dzire,38500.0,Suzuki,City,Petrol,5.0,Manual,90000.0,2019,2024-02-25,5,0.42777777777777776,7700.0
BMW X6 XDRIVE D M.POWER,110000.0,BMW,SUV,Diesel,15.0,Automatic,278000.0,201,2024-02-18,1823,0.39568345323741005,7333.333333333333
Volkswagen Golf 6,40000.0,Volkswagen,Utility,Petrol,5.0,Manual,122000.0,2012,2024-02-18,12,0.32786885245901637,8000.0
Renault Clio Campus,21500.0,Renault,Coupe,Petrol,5.0,Manual,323000.0,2012,2024-02-18,12,0.06656346749226007,4300.0
Hyundai i10,28500.0,Hyundai,City,Petrol,5.0,Manual,260000.0,2015,2024-02-18,9,0.10961538461538461,5700.0
BMW X1,84000.0,BMW,SUV,Petrol,7.0,Automatic,120000.0,2017,2024-02-18,7,0.7,12000.0
Ford Ecosport Titanium BVA,75000.0,Ford,SUV,Petrol,7.0,Automatic,39000.0,2020,2024-02-18,4,1.9230769230769231,10714.285714285714
Dongfeng SX3,65000.0,Dongfeng,SUV,Petrol,8.0,Manual,32000.0,2021,2024-02-26,3,2.03125,8125.0
Mazda BT-50,50000.0,Mazda,Pickup,Diesel,9.0,Manual,197000.0,2016,2024-02-26,8,0.25380710659898476,5555.555555555556
Seat Leon,65000.0,Seat,City,Petrol,6.0,Manual,79000.0,2018,2024-02-26,6,0.8227848101265823,10833.333333333334
Citroën DS3 Sport chic,30500.0,Citroën,Coupe,Petrol,5.0,Manual,99000.0,2013,2024-02-26,11,0.30808080808080807,6100.0
BYD Song,88000.0,BYD,SUV,Petrol,9.0,Automatic,25000.0,2022,2024-02-18,2,3.52,9777.777777777777
KIA Sportage extrem,110000.0,KIA,SUV,Petrol,8.0,Automatic,23000.0,2020,2024-02-18,4,4.782608695652174,13750.0
Peugeot 4008,52000.0,Peugeot,SUV,Petrol,9.0,Manual,90000.0,2014,2024-02-18,10,0.5777777777777777,5777.777777777777
Audi A3 Berline S line,59000.0,Audi,Sedan,Petrol,5.0,Manual,180000.0,2015,2024-02-18,9,0.3277777777777778,11800.0
KIA Rio 5p Neuve,44600.0,KIA,Coupe,Petrol,5.0,Manual,100000.0,2020,2024-02-18,4,0.446,8920.0
BMW Série 3 316i,73000.0,BMW,Sedan,Petrol,7.0,Automatic,164000.0,2014,2024-02-18,10,0.4451219512195122,10428.57142857143
BMW M1,50000.0,BMW,Coupe,Petrol,21.0,Automatic,140000.0,201,2024-02-18,1823,0.35714285714285715,2380.9523809523807
Skoda Octavia,37000.0,Skoda,Sedan,Diesel,6.0,Automatic,295000.0,2012,2024-02-18,12,0.12542372881355932,6166.666666666667
Renault Kadjar,70000.0,Renault,SUV,Petrol,7.0,Manual,69000.0,2019,2024-02-18,5,1.0144927536231885,10000.0
Peugeot Partner K9,45000.0,Peugeot,Utility,Diesel,5.0,Manual,112000.0,2019,2024-02-18,5,0.4017857142857143,9000.0
Fiat Doblo Combi,50000.0,Fiat,Utility,Petrol,6.0,Manual,124000.0,2019,2024-02-18,5,0.4032258064516129,8333.333333333334
Nissan Navara,39000.0,Nissan,Pickup,Diesel,8.0,Automatic,357000.0,2007,2024-02-26,17,0.1092436974789916,4875.0
Volkswagen Golf 7,73900.0,Volkswagen,City,Petrol,6.0,Manual,100000.0,2018,2024-02-26,6,0.739,12316.666666666666
Mahindra KUV 100,30000.0,Mahindra,SUV,Petrol,5.0,Manual,87000.0,2018,2024-02-26,6,0.3448275862068966,6000.0
Mercedes-Benz Classe E,249000.0,Mercedes,Sedan,Petrol,9.0,Automatic,12000.0,2022,2024-02-26,2,20.75,27666.666666666668
Mercedes-Benz Classe C,115000.0,Mercedes,Sedan,Petrol,8.0,Automatic,119000.0,2015,2024-02-26,9,0.9663865546218487,14375.0
Peugeot 5008,75000.0,Peugeot,SUV,Petrol,9.0,Automatic,120000.0,2019,2024-02-26,5,0.625,8333.333333333334
Fiat Fiorino,27900.0,Fiat,Utility,Diesel,5.0,Manual,115000.0,2018,2024-02-26,6,0.2426086956521739,5580.0
Renault Megane,48900.0,Renault,City,Petrol,7.0,Manual,144000.0,2018,2024-02-26,6,0.33958333333333335,6985.714285714285
Ssangyong Tivoli,49500.0,Ssangyong,SUV,Diesel,7.0,Automatic,130000.0,2016,2024-02-26,8,0.38076923076923075,7071.428571428572
Nissan Qashqai,69000.0,Nissan,SUV,Petrol,7.0,Manual,69000.0,2018,2024-02-17,6,1.0,9857.142857142857
Chery Tiggo 3X Toutes OPTION,57500.0,Chery,SUV,Petrol,6.0,Automatic,22000.0,2022,2024-02-17,2,2.6136363636363638,9583.333333333334
Mini Coupé One,73000.0,Mini,Coupe,Petrol,5.0,Manual,200000.0,2017,2024-02-17,7,0.365,14600.0
KIA Rio 5p,51500.0,KIA,Coupe,Petrol,5.0,Manual,100000.0,2018,2024-02-17,6,0.515,10300.0
Volkswagen Golf 7 highline,72000.0,Volkswagen,Sedan,Diesel,6.0,Manual,112000.0,2019,2024-02-17,5,0.6428571428571429,12000.0
Peugeot Partner K9,47500.0,Peugeot,Utility,Diesel,5.0,Manual,116000.0,2020,2024-02-17,4,0.40948275862068967,9500.0
BMW X5,78000.0,BMW,SUV,Petrol,19.0,Automatic,136000.0,2008,2024-02-17,16,0.5735294117647058,4105.263157894737
BMW Série 1 Urbain,60000.0,BMW,City,Petrol,7.0,Automatic,131090.0,2015,2024-02-24,9,0.4577008162331223,8571.42857142857
Hyundai Santa Fe,230000.0,Hyundai,SUV,Diesel,12.0,Automatic,46000.0,2022,2024-02-24,2,5.0,19166.666666666668
Citroën Jumpy Fourgon,65000.0,Citroën,Utility,Diesel,5.0,Manual,198000.0,2018,2024-02-24,6,0.3282828282828283,13000.0
Audi A5 Coupé Kit rs 5,205000.0,Audi,Sedan,Petrol,8.0,Automatic,36000.0,2020,2024-02-24,4,5.694444444444445,25625.0
Mercedes-Benz Classe C kit AMG,185000.0,Mercedes,Sedan,Petrol,9.0,Automatic,26000.0,2020,2024-02-24,4,7.115384615384615,20555.555555555555
Mini 3 portes,43000.0,Mini,City,Petrol,7.0,Automatic,141000.0,2013,2024-02-24,11,0.3049645390070922,6142.857142857143
Mercedes-Benz Classe C Kit AMG,150000.0,Mercedes,Sedan,Petrol,8.0,Automatic,73000.0,2018,2024-02-24,6,2.0547945205479454,18750.0
KIA Rio 5p GT Line,70000.0,KIA,City,Petrol,5.0,Manual,60000.0,2022,2024-02-24,2,1.1666666666666667,14000.0
Seat Ibiza,44000.0,Seat,City,Petrol,4.0,Manual,51000.0,2018,2024-02-24,6,0.8627450980392157,11000.0
BMW Série 5 Pack M + options personnalisées,253000.0,BMW,Sedan,Petrol,10.0,Automatic,37000.0,2022,2024-02-24,2,6.837837837837838,25300.0
Chevrolet Cruze,35500.0,Chevrolet,Sedan,Petrol,7.0,Manual,198000.0,2014,2024-02-24,10,0.17929292929292928,5071.428571428572
Renault Clio,43500.0,Renault,City,Petrol,5.0,Manual,104000.0,2018,2024-02-24,6,0.4182692307692308,8700.0
BMW Série 3 business,165000.0,BMW,Sedan,Petrol,9.0,Automatic,62000.0,2021,2024-02-26,3,2.661290322580645,18333.333333333332
Mercedes-Benz Classe C business,132000.0,Mercedes,Sedan,Diesel,7.0,Automatic,92000.0,2019,2024-02-26,5,1.434782608695652,18857.14285714286
BMW Série 3 Luxury Line,85000.0,BMW,Sedan,Petrol,7.0,Automatic,145000.0,2016,2024-02-26,8,0.5862068965517241,12142.857142857143
Fiat 500 BVA,43500.0,Fiat,Coupe,Petrol,4.0,Automatic,82000.0,2016,2024-02-26,8,0.5304878048780488,10875.0
Peugeot 407 Navteq,45000.0,Peugeot,City,Petrol,6.0,Manual,107000.0,2007,2024-02-26,17,0.4205607476635514,7500.0
Peugeot 208,29800.0,Peugeot,Compact,Petrol,5.0,Manual,186000.0,2014,2024-02-26,10,0.16021505376344086,5960.0
BMW X6 N47B30,115000.0,BMW,SUV,Diesel,15.0,Automatic,173000.0,2012,2024-02-26,12,0.6647398843930635,7666.666666666667
BMW Série 5 N46T,57000.0,BMW,Other,Petrol,9.0,Automatic,100000.0,2012,2024-02-26,12,0.57,6333.333333333333
Audi Q2 comfort line,107000.0,Audi,SUV,Petrol,6.0,Automatic,53000.0,2019,2024-02-26,5,2.018867924528302,17833.333333333332
Volkswagen Golf 7 IQ.DRIVE,79000.0,Volkswagen,Compact,Petrol,6.0,Manual,53000.0,2019,2024-02-26,5,1.490566037735849,13166.666666666666
KIA Sportage BVA,96000.0,KIA,SUV,Petrol,8.0,Automatic,52000.0,2020,2024-02-26,4,1.8461538461538463,12000.0
Ford Mondeo comfort,37500.0,Ford,Sedan,Petrol,7.0,Manual,115000.0,2015,2024-02-26,9,0.32608695652173914,5357.142857142857
Fiat Grande Punto toutes options,23800.0,Fiat,Compact,Petrol,5.0,Manual,165000.0,201,2024-02-17,1823,0.14424242424242426,4760.0
Ford Fiesta Titanium,28400.0,Ford,City,Petrol,5.0,Manual,230000.0,2012,2024-02-17,12,0.12347826086956522,5680.0
Jeep Renegade 1.4 TURBO LIMITED BVA 4X2,73500.0,Jeep,SUV,Petrol,8.0,Automatic,122000.0,2018,2024-02-18,6,0.6024590163934426,9187.5
Volkswagen Golf 7,88000.0,Volkswagen,Sedan,Petrol,9.0,Manual,9900.0,2020,2024-02-18,4,8.88888888888889,9777.777777777777
Citroën C4 II Millenium,39000.0,Citroën,Compact,Petrol,6.0,Manual,125000.0,2018,2024-02-18,6,0.312,6500.0
Peugeot 3008,82000.0,Peugeot,SUV,Petrol,8.0,Automatic,78000.0,2019,2024-02-18,5,1.0512820512820513,10250.0
Ssangyong Tivoli SUV,56000.0,Ssangyong,SUV,Petrol,7.0,Manual,84000.0,2017,2024-02-18,7,0.6666666666666666,8000.0
Audi Q5,50000.0,Audi,SUV,Petrol,13.0,Automatic,290000.0,201,2024-02-26,1823,0.1724137931034483,3846.153846153846
Peugeot 208,48000.0,Peugeot,City,Petrol,5.0,Manual,60000.0,2021,2024-02-26,3,0.8,9600.0
Seat Leon Style plus,69500.0,Seat,City,Petrol,6.0,Manual,60000.0,2020,2024-02-26,4,1.1583333333333334,11583.333333333334
Hyundai Tucson,87000.0,Hyundai,SUV,Petrol,8.0,Automatic,120000.0,2020,2024-02-26,4,0.725,10875.0
Hyundai Tucson,153000.0,Hyundai,SUV,Petrol,10.0,Automatic,16000.0,2023,2024-02-26,1,9.5625,15300.0
Peugeot 2008 Purtech,81000.0,Peugeot,SUV,Petrol,6.0,Manual,6000.0,2022,2024-02-26,2,13.5,13500.0
Mercedes-Benz GLA,198000.0,Mercedes,SUV,Petrol,7.0,Automatic,6000.0,2023,2024-02-26,1,33.0,28285.714285714286
BMW Série 4 Gran Coupé Luxury,99000.0,BMW,City,Petrol,7.0,Automatic,100000.0,2018,2024-02-26,6,0.99,14142.857142857143
Volkswagen Golf 7 Join Bva 1.5,80000.0,Volkswagen,SUV,Petrol,6.0,Automatic,120000.0,2019,2024-02-26,5,0.6666666666666666,13333.333333333334
KIA Picanto GT-line,38500.0,KIA,City,Petrol,5.0,Automatic,130000.0,2019,2024-02-26,5,0.29615384615384616,7700.0
Hyundai Grand i10 BVM,47500.0,Hyundai,Compact,Petrol,5.0,Manual,26000.0,2023,2024-02-26,1,1.8269230769230769,9500.0
Peugeot 406,19800.0,Peugeot,Sedan,Petrol,7.0,Manual,247000.0,2003,2024-02-26,21,0.08016194331983806,2828.5714285714284
BAIC YX Kenbo S2 SUV,42800.0,BAIC,SUV,Petrol,7.0,Manual,51000.0,2018,2024-02-26,6,0.8392156862745098,6114.285714285715
Audi A4 comfort,46000.0,Audi,Sedan,Petrol,7.0,Manual,187000.0,2013,2024-02-26,11,0.24598930481283424,6571.428571428572
Volkswagen Passat Comfort line BVA,44000.0,Volkswagen,Sedan,Petrol,9.0,Automatic,137000.0,2012,2024-02-26,12,0.32116788321167883,4888.888888888889
Smart ForTwo Sport,27500.0,Smart,Compact,Petrol,5.0,Manual,101000.0,201,2024-02-26,1823,0.2722772277227723,5500.0
Volkswagen Polo R-Line,67000.0,Volkswagen,Compact,Petrol,4.0,Manual,78000.0,2021,2024-02-26,3,0.8589743589743589,16750.0
Mercedes-Benz Classe A,50000.0,Mercedes,Coupe,Diesel,5.0,Automatic,181000.0,2014,2024-02-17,10,0.27624309392265195,10000.0
Mazda 6 En très bonne etat,65000.0,Mazda,Sedan,Petrol,9.0,Automatic,141000.0,2016,2024-02-17,8,0.46099290780141844,7222.222222222223
Mercedes-Benz Classe E 220,59000.0,Mercedes,Sedan,Diesel,9.0,Manual,200000.0,2009,2024-02-26,15,0.295,6555.555555555556
BMW Série 4 Gran Coupé 418i,105000.0,BMW,Sedan,Petrol,7.0,Automatic,100000.0,2018,2024-02-26,6,1.05,15000.0
Hyundai Grand i10 High grade,48500.0,Hyundai,Coupe,Petrol,5.0,Manual,50000.0,2022,2024-02-26,2,0.97,9700.0
Volkswagen Golf 7 comfort line,76000.0,Volkswagen,Coupe,Petrol,6.0,Manual,100000.0,2020,2024-02-26,4,0.76,12666.666666666666
Seat Ibiza FR BVA,69500.0,Seat,Compact,Petrol,6.0,Automatic,125000.0,2020,2024-02-26,4,0.556,11583.333333333334
Volkswagen Passat Smart Line,78000.0,Smart,Sedan,Petrol,7.0,Manual,67000.0,2018,2024-02-26,6,1.164179104477612,11142.857142857143
Land Rover Range Rover Evoque 2.0,210000.0,Land Rover,SUV,Hybrid Diesel,8.0,Automatic,49000.0,2019,2024-02-17,5,4.285714285714286,26250.0
Mercedes-Benz Sprinter Van,29000.0,Mercedes,Utility,Diesel,7.0,Manual,351000.0,2006,2024-02-17,18,0.08262108262108261,4142.857142857143
Audi A5 Sportback S-line,130000.0,Audi,Sedan,Petrol,8.0,Automatic,90000.0,2020,2024-02-17,4,1.4444444444444444,16250.0
Fiat 500 C cabriolet,38000.0,Fiat,Convertible,Petrol,6.0,Automatic,143000.0,2013,2024-02-26,11,0.26573426573426573,6333.333333333333
KIA Sportage,85000.0,KIA,SUV,Diesel,10.0,Automatic,308000.0,2017,2024-02-26,7,0.275974025974026,8500.0
Renault Megane,62000.0,Renault,City,Diesel,5.0,Manual,133000.0,2017,2024-02-26,7,0.46616541353383456,12400.0
Volkswagen Golf 7 IQ drive,80000.0,Volkswagen,Compact,Petrol,5.0,Manual,65000.0,2019,2024-02-16,5,1.2307692307692308,16000.0
Citroën C4,28000.0,Citroën,Compact,Petrol,6.0,Manual,325000.0,201,2024-02-16,1823,0.08615384615384615,4666.666666666667
Fiat Fiorino,33000.0,Fiat,Utility,Diesel,5.0,Manual,86000.0,2020,2024-02-26,4,0.38372093023255816,6600.0
KIA Rio Berline,34500.0,KIA,Sedan,Petrol,5.0,Manual,174000.0,2013,2024-02-16,11,0.19827586206896552,6900.0
Suzuki Swift,48900.0,Suzuki,City,Petrol,5.0,Manual,22000.0,2022,2024-02-16,2,2.2227272727272727,9780.0
Mazda 3,63000.0,Mazda,Sedan,Petrol,6.0,Manual,46000.0,2018,2024-02-16,6,1.3695652173913044,10500.0
KIA Rio 5p,67000.0,KIA,Coupe,Petrol,5.0,Manual,27000.0,2022,2024-02-16,2,2.4814814814814814,13400.0
Land Rover Range Rover Evoque,280000.0,Land Rover,Compact,Hybrid Petrol,9.0,Automatic,18000.0,2022,2024-02-16,2,15.555555555555555,31111.11111111111
Mercedes-Benz GLC,149000.0,Mercedes,SUV,Diesel,9.0,Automatic,250000.0,2016,2024-02-16,8,0.596,16555.555555555555
KIA Picanto GTline,49800.0,KIA,City,Petrol,4.0,Automatic,60000.0,2021,2024-02-16,3,0.83,12450.0
Peugeot 2008,42000.0,Peugeot,SUV,Petrol,5.0,Manual,124000.0,2016,2024-02-16,8,0.3387096774193548,8400.0
Peugeot 308,42000.0,Peugeot,City,Petrol,6.0,Manual,140000.0,2019,2024-02-26,5,0.3,7000.0
Fiat 500,26900.0,Fiat,City,Petrol,4.0,Manual,168000.0,2009,2024-02-26,15,0.1601190476190476,6725.0
Dacia Dokker Van,25500.0,Dacia,Utility,Diesel,6.0,Manual,325000.0,2016,2024-02-26,8,0.07846153846153846,4250.0
Peugeot 508 Bva edition limitee,34500.0,Peugeot,Sedan,Petrol,7.0,Automatic,180500.0,2012,2024-02-16,12,0.19113573407202217,4928.571428571428
Nissan Qashqai Tekna +,59500.0,Nissan,SUV,Petrol,6.0,Automatic,110000.0,2017,2024-02-16,7,0.5409090909090909,9916.666666666666
Chery Arrizo 3,32000.0,Chery,Sedan,Petrol,6.0,Manual,49653.0,2018,2024-02-16,6,0.6444726401224498,5333.333333333333
BMW Série 4 Coupé KIT M,85000.0,BMW,Coupe,Petrol,10.0,Automatic,190000.0,2015,2024-02-16,9,0.4473684210526316,8500.0
Audi A4,37000.0,Audi,Other,Petrol,7.0,Automatic,204000.0,2011,2024-02-16,13,0.18137254901960784,5285.714285714285
Mercedes-Benz Classe C Bon occasion,42000.0,Mercedes,Compact,Diesel,10.0,Automatic,290000.0,2008,2024-02-16,16,0.14482758620689656,4200.0
KIA Rio 5p,34500.0,KIA,Coupe,Petrol,5.0,Manual,158000.0,2012,2024-02-17,12,0.21835443037974683,6900.0
Fiat 500X Business,67000.0,Fiat,SUV,Petrol,8.0,Automatic,730000.0,2018,2024-02-16,6,0.09178082191780822,8375.0
Mercedes-Benz Classe C Avantgarde,99000.0,Mercedes,Sedan,Petrol,8.0,Automatic,111170.0,2016,2024-02-17,8,0.8905280201493209,12375.0
Ford Ecosport Trend Line,63000.0,Ford,SUV,Petrol,7.0,Manual,57000.0,2018,2024-02-16,6,1.105263157894737,9000.0
Ford Focus ecoboost,47000.0,Ford,Coupe,Petrol,6.0,Manual,78000.0,2017,2024-02-17,7,0.6025641025641025,7833.333333333333
Jaguar XE R-sport,127000.0,Jaguar,Sedan,Petrol,12.0,Automatic,95000.0,2017,2024-02-17,7,1.3368421052631578,10583.333333333334
Renault Megane 4,54000.0,Renault,Other,Diesel,5.0,Manual,250000.0,2019,2024-02-16,5,0.216,10800.0
Volkswagen Golf 7,58000.0,Volkswagen,Other,Petrol,5.0,Manual,150000.0,2016,2024-02-24,8,0.38666666666666666,11600.0
Nissan Qashqai,70000.0,Nissan,SUV,Petrol,6.0,Automatic,115000.0,2017,2024-02-24,7,0.6086956521739131,11666.666666666666
Nissan Qashqai+2,48000.0,Nissan,SUV,Diesel,6.0,Manual,200000.0,201,2024-02-24,1823,0.24,8000.0
Chery Arrizo 5,40000.0,Chery,Sedan,Petrol,7.0,Manual,162000.0,2018,2024-02-24,6,0.24691358024691357,5714.285714285715
BMW Série 7,65000.0,BMW,Sedan,Petrol,20.0,Manual,160000.0,2008,2024-02-24,16,0.40625,3250.0
Mercedes-Benz Classe A,81000.0,Mercedes,City,Petrol,6.0,Automatic,84000.0,2019,2024-02-24,5,0.9642857142857143,13500.0
Nissan Juke,68000.0,Nissan,SUV,Petrol,6.0,Manual,120000.0,2017,2024-02-24,7,0.5666666666666667,11333.333333333334
Hyundai Grand i10,50000.0,Hyundai,City,Petrol,5.0,Manual,60000.0,2022,2024-02-24,2,0.8333333333333334,10000.0
Mercedes-Benz Classe A,125000.0,Mercedes,Sedan,Diesel,6.0,Automatic,87000.0,2020,2024-02-24,4,1.4367816091954022,20833.333333333332
Land Rover Range Rover Evoque,145000.0,Land Rover,SUV,Diesel,8.0,Automatic,160000.0,2017,2024-02-24,7,0.90625,18125.0
Mercedes-Benz Classe A En bonne État,56000.0,Mercedes,Coupe,Petrol,6.0,Automatic,180000.0,2013,2024-02-15,11,0.3111111111111111,9333.333333333334
Nissan Qashqai,58000.0,Nissan,City,Petrol,6.0,Automatic,167000.0,2015,2024-02-15,9,0.3473053892215569,9666.666666666666
Volkswagen Polo 8,55000.0,Volkswagen,Compact,Petrol,4.0,Manual,58000.0,2021,2024-02-15,3,0.9482758620689655,13750.0
Ford Fiesta,39000.0,Ford,City,Petrol,5.0,Manual,48900.0,2017,2024-02-15,7,0.7975460122699386,7800.0
Mazda 3,85000.0,Mazda,City,Petrol,6.0,Automatic,63000.0,2020,2024-02-15,4,1.3492063492063493,14166.666666666666
Ssangyong Musso BOITE AUTO,120000.0,Ssangyong,Pickup,Diesel,7.0,Automatic,70000.0,2019,2024-02-15,5,1.7142857142857142,17142.85714285714
Mercedes-Benz CLA Kit AMG,75000.0,Mercedes,Sedan,Petrol,7.0,Automatic,132000.0,2013,2024-02-15,11,0.5681818181818182,10714.285714285714
Jeep Renegade,71500.0,Jeep,SUV,Petrol,8.0,Automatic,157000.0,2017,2024-02-15,7,0.4554140127388535,8937.5
KIA Rio 5p Gx,57000.0,KIA,Other,Petrol,5.0,Manual,55000.0,2022,2024-02-15,2,1.0363636363636364,11400.0
Citroën DS3,30500.0,Citroën,Coupe,Petrol,5.0,Manual,130000.0,2015,2024-02-15,9,0.23461538461538461,6100.0
Land Rover Range Rover Velar R dynamique,310000.0,Land Rover,Other,Diesel,19.0,Automatic,100000.0,2019,2024-02-15,5,3.1,16315.78947368421
Hyundai Venue,87500.0,Hyundai,SUV,Petrol,7.0,Automatic,16350.0,2023,2024-02-15,1,5.351681957186544,12500.0
MG ZS,73000.0,MG,SUV,Petrol,7.0,Manual,27000.0,2022,2024-02-26,2,2.7037037037037037,10428.57142857143
Porsche Cayenne,440000.0,Porsche,SUV,Petrol,23.0,Automatic,58000.0,2020,2024-02-26,4,7.586206896551724,19130.434782608696
Toyota Land Cruiser,150000.0,Toyota,SUV,Petrol,20.0,Automatic,303000.0,2009,2024-02-26,15,0.49504950495049505,7500.0
Mercedes-Benz GLC Coupé,320000.0,Mercedes,SUV,Hybrid Petrol,10.0,Automatic,22000.0,2022,2024-02-26,2,14.545454545454545,32000.0
Volkswagen Golf 7 R,190000.0,Volkswagen,Other,Petrol,20.0,Automatic,57000.0,2019,2024-02-26,5,3.3333333333333335,9500.0
Volkswagen Tiguan,126000.0,Volkswagen,SUV,Petrol,8.0,Automatic,69000.0,2021,2024-02-26,3,1.826086956521739,15750.0
BMW X1,95000.0,BMW,SUV,Petrol,7.0,Automatic,80000.0,2017,2024-02-26,7,1.1875,13571.42857142857
