title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Land Rover Range Rover Sport sport SDV6,297000.0,Land Rover,SUV,Diesel,19.0,Automatic,79000.0,2017,2024-02-26,7,3.759493670886076,15631.578947368422
Mercedes-Benz Classe A A180,118500.0,Mercedes,Sedan,Petrol,7.0,Automatic,115000.0,2020,2024-02-26,4,1.0304347826086957,16928.571428571428
Mercedes-Benz Classe A,54500.0,Mercedes,Compact,Petrol,6.0,Manual,169000.0,2013,2024-02-26,11,0.3224852071005917,9083.333333333334
Volkswagen Amarok HIGHLINE,97000.0,Volkswagen,Pickup,Diesel,7.0,Automatic,215000.0,2017,2024-02-26,7,0.4511627906976744,13857.142857142857
Seat Leon,66000.0,Seat,City,Petrol,6.0,Manual,100000.0,2018,2024-02-25,6,0.66,11000.0
KIA Sportage,77000.0,KIA,SUV,Petrol,8.0,Automatic,100000.0,2016,2024-02-25,8,0.77,9625.0
KIA Sportage,98000.0,KIA,SUV,Petrol,8.0,Automatic,100000.0,2020,2024-02-25,4,0.98,12250.0
Hyundai Grand i10,35000.0,Hyundai,City,Petrol,5.0,Manual,78000.0,2018,2024-02-25,6,0.44871794871794873,7000.0
Mercedes-Benz Classe C,118000.0,Mercedes,Sedan,Petrol,8.0,Automatic,120000.0,2019,2024-02-25,5,0.9833333333333333,14750.0
Dacia Dokker Van,48500.0,Dacia,City,Diesel,5.0,Manual,160000.0,2018,2024-02-25,6,0.303125,9700.0
Nissan Qashqai Tekna plus,82000.0,Nissan,SUV,Petrol,7.0,Automatic,72000.0,2017,2024-02-25,7,1.1388888888888888,11714.285714285714
Fiat Grande Punto,29200.0,Fiat,City,Petrol,4.0,Manual,141000.0,2016,2024-02-25,8,0.20709219858156028,7300.0
Chery Tiggo 3X LUXURY,61000.0,Chery,Other,Petrol,6.0,Automatic,4000.0,2022,2024-02-25,2,15.25,10166.666666666666
KIA Rio 5p neuf,69000.0,KIA,City,Petrol,5.0,Manual,28000.0,2023,2024-02-25,1,2.4642857142857144,13800.0
Peugeot 3008,92000.0,Peugeot,SUV,Petrol,7.0,Automatic,70000.0,2019,2024-02-25,5,1.3142857142857143,13142.857142857143
Volkswagen Golf 8 Life,125000.0,Volkswagen,Compact,Petrol,8.0,Automatic,15000.0,2023,2024-02-25,1,8.333333333333334,15625.0
Mercedes-Benz Classe A AMG,175000.0,Mercedes,Compact,Hybrid Petrol,8.0,Automatic,6000.0,2022,2024-02-25,2,29.166666666666668,21875.0
Land Rover Range Rover Evoque 2.2 Diesel Dynamic,122000.0,Land Rover,SUV,Diesel,11.0,Automatic,145000.0,2016,2024-02-25,8,0.8413793103448276,11090.90909090909
Volkswagen Golf 7 R Line,64000.0,Volkswagen,Sedan,Petrol,6.0,Automatic,150000.0,2016,2024-02-25,8,0.4266666666666667,10666.666666666666
Mercedes-Benz Classe C AMG,138000.0,Mercedes,Sedan,Diesel,9.0,Automatic,120000.0,2019,2024-02-25,5,1.15,15333.333333333334
