title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
Peugeot 3008,0.09485094850948508,Peugeot,SUV,Petrol,0.07692307692307693,Automatic,0.23148579413134607,2020,2024-02-26,4,0.47337278106508873,11428.57142857143
Volkswagen Passat,0.1016260162601626,Volkswagen,Sedan,Diesel,0.051282051282051294,Automatic,0.16710046850598648,2019,2024-02-26,5,0.6967213114754098,14166.666666666666
Cupra Formentor Hight-grade   2L,0.21205962059620598,Cupra,Pickup,Petrol,0.1794871794871795,Automatic,0.04243951889092852,2022,2024-02-26,2,5.370967741935484,15136.363636363636
BMW Série 5 LUXYRY LINE,0.2140921409214092,BMW,Sedan,Petrol,0.15384615384615383,Automatic,0.06298802706923477,2018,2024-02-26,6,3.652173913043478,16800.0
Volkswagen Passat,0.03319783197831978,Volkswagen,Sedan,Diesel,0.051282051282051294,Manual,0.4520397819118332,2008,2024-02-26,16,0.10454545454545454,5750.0
Haval H6,0.09078590785907859,Haval,SUV,Petrol,0.1282051282051282,Automatic,0.16436066741554564,2020,2024-02-26,4,0.6416666666666667,8555.555555555555
Peugeot 3008,0.1016260162601626,Peugeot,City,Petrol,0.1282051282051282,Automatic,0.0821666347023206,2017,2024-02-26,7,1.4166666666666667,9444.444444444445
Hyundai Grand i10,0.03997289972899729,Hyundai,City,Petrol,0.025641025641025633,Automatic,0.09997534179018602,2018,2024-02-26,6,0.541095890410959,7900.0
Mercedes-Benz GLA KIT AMG,0.27371273712737126,Mercedes,SUV,Petrol,0.1282051282051282,Automatic,0.026000712348283515,2021,2024-02-26,3,11.157894736842104,23555.555555555555
MG GT,0.03590785907859079,MG,Sedan,Petrol,0.051282051282051294,Manual,0.26162360612619523,2017,2024-02-26,7,0.19109947643979058,6083.333333333333
Jaguar E-Pace R-DYNAMIC,0.3590785907859078,Jaguar,Compact,Petrol,0.20512820512820515,Automatic,0.0410696183457081,2021,2024-02-26,3,9.166666666666666,22916.666666666668
Ford Fiesta,0.024254742547425476,Ford,City,Petrol,0.025641025641025633,Manual,0.25203430230965235,2011,2024-02-26,13,0.1516304347826087,5580.0
Porsche Cayenne V6 PACK NIGHT 3.6L,0.20189701897018972,Porsche,SUV,Petrol,0.4358974358974359,Automatic,0.27121290994273817,2012,2024-02-26,12,0.803030303030303,7571.428571428572
Volkswagen Golf 6,0.04051490514905149,Volkswagen,City,Petrol,0.025641025641025633,Manual,0.23011589358612566,2012,2024-02-26,12,0.2375,7980.0
KIA Rio 5p GT Line,0.07520325203252032,KIA,Compact,Petrol,0.025641025641025633,Manual,0.023260911257842683,2021,2024-02-16,3,3.8529411764705883,13100.0
BMW Série 7 740I FACE-LIFT,0.06097560975609757,BMW,Sedan,Petrol,0.46153846153846156,Automatic,0.30135072193758733,2008,2024-02-26,16,0.25,2500.0
Ford Ecosport Titanium +,0.08672086720867207,Ford,SUV,Petrol,0.07692307692307693,Automatic,0.03011041398394477,2021,2024-02-16,3,3.3636363636363638,10571.42857142857
BMW Série 2 Active Tourer Pack M,0.09756097560975609,BMW,Minivan,Petrol,0.07692307692307693,Automatic,0.19175867831995397,2015,2024-02-16,9,0.5857142857142857,11714.285714285714
Chevrolet Captiva AWD 7 places,0.08536585365853658,Chevrolet,SUV,Diesel,0.15384615384615383,Automatic,0.21915668922436232,2016,2024-02-16,8,0.45625,7300.0
Suzuki Dzire,0.03861788617886179,Suzuki,Sedan,Petrol,0.025641025641025633,Manual,0.15614126414422314,2021,2024-02-26,3,0.33771929824561403,7700.0
Volkswagen Passat,0.032520325203252036,Volkswagen,Sedan,Diesel,0.051282051282051294,Manual,0.3671059481081674,2009,2024-02-26,15,0.12686567164179105,5666.666666666667
Toyota Prado,0.2506775067750677,Toyota,SUV,Petrol,0.1794871794871795,Manual,0.06846762925011643,2014,2024-02-26,10,3.9,17727.272727272728
Mercedes-Benz CLA Buisness,0.1124661246612466,Mercedes,Sedan,Petrol,0.07692307692307693,Automatic,0.1369626565111373,2016,2024-02-16,8,0.93,13285.714285714286
BMW Série 4 Coupé,0.13550135501355015,BMW,Coupe,Petrol,0.07692307692307693,Automatic,0.10682484451628811,2017,2024-02-26,7,1.4102564102564104,15714.285714285714
Mercedes-Benz CLA,0.1964769647696477,Mercedes,Sedan,Petrol,0.07692307692307693,Automatic,0.08079673415710019,2019,2024-02-26,5,2.6271186440677967,22142.85714285714
BMW Série 3,0.1016260162601626,BMW,Sedan,Petrol,0.07692307692307693,Automatic,0.20819748486259898,2016,2024-02-26,8,0.5592105263157895,12142.857142857143
Mercedes-Benz Classe S KIT AMG  jantes 20’’,0.1565040650406504,Mercedes,Sedan,Petrol,0.3589743589743589,Automatic,0.2260061919504644,201,2024-02-26,1823,0.7606060606060606,6972.222222222223
Nissan Juke,0.04336043360433604,Nissan,SUV,Petrol,0.07692307692307693,Manual,0.21915668922436232,2014,2024-02-26,10,0.2625,6000.0
Mercedes-Benz GLC Coupé GLC 200 COUPE,0.5826558265582656,Mercedes,SUV,Hybrid Petrol,0.1794871794871795,Automatic,0.13833255705635772,2023,2024-02-26,1,4.356435643564357,40000.0
Porsche Cayenne Coupé,0.5894308943089431,Porsche,SUV,Petrol,0.5384615384615384,Automatic,0.09175593851886353,2020,2024-02-26,4,6.641791044776119,17800.0
BMW Série 1 Sport line,0.14634146341463414,BMW,Compact,Petrol,0.10256410256410256,Automatic,0.10956464560672895,2020,2024-02-26,4,1.475,14750.0
BMW X1,0.1056910569105691,BMW,SUV,Petrol,0.07692307692307693,Automatic,0.15066166196334146,2016,2024-02-26,8,0.8,12571.42857142857
Seat Leon,0.08130081300813008,Seat,City,Petrol,0.051282051282051294,Manual,0.09038603797364311,2020,2024-02-26,4,1.0606060606060606,11666.666666666666
Land Rover Range Rover Evoque,0.14227642276422764,Land Rover,SUV,Petrol,0.28205128205128205,Automatic,0.18901887722951313,2016,2024-02-26,8,0.8333333333333334,7666.666666666667
Volkswagen Golf 8,0.12181571815718158,Volkswagen,City,Petrol,0.051282051282051294,Manual,0.05476862379791227,2021,2024-02-26,3,2.4975,16650.0
Volkswagen Golf 7,0.07317073170731707,Volkswagen,City,Petrol,0.051282051282051294,Manual,0.1944984794103948,2018,2024-02-26,6,0.4507042253521127,10666.666666666666
Land Rover Range Rover Sport,0.3184281842818428,Land Rover,SUV,Diesel,0.28205128205128205,Automatic,0.21915668922436232,2014,2024-02-26,10,1.53125,16333.333333333334
Audi Q5,0.11924119241192412,Audi,SUV,Diesel,0.15384615384615383,Automatic,0.224636291405244,2014,2024-02-26,10,0.5975609756097561,9800.0
BMW Série 4 Gran Coupé Luxury,0.16260162601626016,BMW,Sedan,Petrol,0.07692307692307693,Automatic,0.19175867831995397,2019,2024-02-16,5,0.9285714285714286,18571.428571428572
Mercedes-Benz CLA KIT AMG,0.15989159891598917,Mercedes,Sedan,Petrol,0.051282051282051294,Automatic,0.02874051343872435,2018,2024-02-26,6,6.095238095238095,21333.333333333332
Mercedes-Benz Classe E,0.049999999999999996,Mercedes,Sedan,Petrol,0.15384615384615383,Automatic,0.17531987177730898,2004,2024-02-26,20,0.36640625,4690.0
Audi A5 Sportback,0.23712737127371272,Audi,City,Petrol,0.10256410256410256,Automatic,0.09586564015452477,2021,2024-02-26,3,2.642857142857143,23125.0
KIA Rio Berline,0.09065040650406503,KIA,Sedan,Petrol,0.051282051282051294,Manual,0.0013425025343160087,2023,2024-02-26,1,76.9,12816.666666666666
Audi A6,0.03319783197831978,Audi,Sedan,Petrol,0.1794871794871795,Automatic,0.27806241266884024,2008,2024-02-26,16,0.16995073891625614,3136.3636363636365
KIA Rio 5p,0.07168021680216802,KIA,City,Petrol,0.025641025641025633,Manual,0.04243951889092852,2021,2024-02-26,3,2.029032258064516,12580.0
Volkswagen Amarok AWD,0.1043360433604336,Volkswagen,SUV,Diesel,0.07692307692307693,Manual,0.24655470012877065,2016,2024-02-26,8,0.48333333333333334,12428.57142857143
Peugeot RCZ,0.04065040650406504,Peugeot,City,Petrol,0.07692307692307693,Manual,0.2342255952217869,2011,2024-02-26,13,0.23391812865497075,5714.285714285715
Renault Clio,0.02168021680216802,Renault,City,Diesel,0.025641025641025633,Manual,0.22874599304090523,201,2024-02-26,1823,0.15568862275449102,5200.0
